globalid,wb_status,sovereign,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_CODE,L2_NAME,Disputed,total_gdp,year,geo_level
{8DBC653A-A5E0-4417-BFAC-8042FF6A2E38},Member State,AFG,AFG1,Afghanistan,AFG7,Farah,AFG89,Pur Chaman,ND,92.43240608365983,2022,2.0
{CAB929F0-5ABA-4B0E-80CE-58F9967A925B},Member State,AFG,AFG1,Afghanistan,AFG7,Farah,AFG90,Pusht Rod,ND,51.483019292712825,2022,2.0
{DF7E90D4-47EE-4B09-8CC8-38FB115D44A0},Member State,AFG,AFG1,Afghanistan,AFG7,Farah,AFG91,Qala-e-Kah,ND,47.67723889575535,2022,2.0
{E313EFCE-F58E-451F-897F-88063BCC04C6},Member State,AFG,AFG1,Afghanistan,AFG7,Farah,AFG92,Shib Koh,ND,46.854540880772305,2022,2.0
{2B4A78B8-39B6-4845-B9CE-0AE3F2495070},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG93,Almar,ND,104.05718486827408,2022,2.0
{49A8EAD0-D6F6-4930-A444-A5A5F821BFBD},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG94,Andkhoy,ND,57.24347165185712,2022,2.0
{FA6E12A0-BF0A-4986-ADFA-9A047B63CB1E},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG95,Bil Cheragh,ND,100.00198546198087,2022,2.0
{C6CB5347-60A9-4AA9-9B22-3684942C8E99},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG96,Dawlat Abad,ND,69.38238360962524,2022,2.0
{B1324312-EF9E-4A27-810E-F24F728CD59C},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG97,Garziwan,ND,145.5052590276218,2022,2.0
{CC2340F9-071B-401B-A30A-3D4DC2A31B42},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG98,Khan-e-Chahar Bagh,ND,37.100690620782885,2022,2.0
{26BB4608-4D14-4DAB-A0D2-5A9B06624195},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG99,Khwaja Sabzposh,ND,94.29289867245554,2022,2.0
{FE4EBBC6-B2A2-479C-8B7D-94AB0793F996},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG100,Kohistan,ND,76.39231181717368,2022,2.0
{CDAAC1DC-C748-492B-9370-C682A3B7222B},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG101,Maymana,ND,180.08871070292363,2022,2.0
{A4EA543E-7E08-46A3-8727-F23DEA131BB3},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG102,Pashtun kot,ND,531.9494663410335,2022,2.0
{904D83DF-4253-4434-A00F-7637525A7ADD},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG103,Qaram Qol,ND,63.49745435142937,2022,2.0
{AD394E31-BBAF-43E2-A1B2-71CB0F86002F},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG104,Qaysar,ND,239.41642811734914,2022,2.0
{EBDD8840-53DB-4C8E-A82D-244C3E1D38D9},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG105,Qorghan,ND,52.94080127350493,2022,2.0
{7FB11E1D-CF9A-4237-B906-224B56222D77},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,AFG106,Shirin Tagab,ND,193.034619828938,2022,2.0
{16672D94-400D-49CE-B49C-289AE1CF13B2},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,AFG107,Ab Band,ND,22.32463747139216,2022,2.0
{A71561DD-1B8D-438E-8E4E-C6EF6A0BCA82},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,AFG108,Ajrestan,ND,26.830592549778178,2022,2.0
{8E8C4AFF-CB70-4681-BD8E-17875D8E6981},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,AFG109,Andar,ND,121.57435497862824,2022,2.0
{9E64FA5A-8BBE-4A48-A438-7ECE353C8D9C},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,AFG110,Deh Yak,ND,51.25328101466449,2022,2.0
{8B7971FD-CD2A-47A1-AD92-FDEB6E8F14DD},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,AFG111,Gelan,ND,72.44421025525205,2022,2.0
{F5780CF8-F3AA-4337-B60D-01804FDFBCB7},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,AFG112,Ghazni,ND,134.42697124187163,2022,2.0
{6A637CB5-B21D-46C7-B876-06585801775E},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,AFG113,Giro,ND,32.45785430782012,2022,2.0
{E8808438-1D60-4A60-85A4-518C661FDA95},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,AFG114,Jaghatu,ND,33.82159400092407,2022,2.0
{CC8D4C42-8C7C-4AC3-AA20-CD975E639165},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,AFG115,Jaghuri,ND,182.66321629968778,2022,2.0
{E434C345-C77E-4E5C-8B8F-D560815835D4},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,AFG116,Khwaja Umari,ND,29.641853575693407,2022,2.0
{C444D9B9-DD4B-47A3-A1AC-603B01417AE8},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,AFG117,Malestan,ND,66.73007397718358,2022,2.0
{B11844AC-296C-4577-87B6-1EE06E0576FA},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,AFG118,Muqur,ND,52.20517998171131,2022,2.0
