L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG207,AFG1,Afghanistan,AFG16,Kapisa,Alasay,44.53491638020226,2.0,Member State,AFG,ND,2022
AFG208,AFG1,Afghanistan,AFG16,Kapisa,Hesa Awal-e- Kohestan,66.67648798523427,2.0,Member State,AFG,ND,2022
AFG209,AFG1,Afghanistan,AFG16,Kapisa,Hisa Duwum-e- Kohestan,72.6385342904723,2.0,Member State,AFG,ND,2022
AFG21,AFG1,Afghanistan,AFG1,Badakhshan,Tagab,57.140813983621904,2.0,Member State,AFG,ND,2022
AFG210,AFG1,Afghanistan,AFG16,Kapisa,Koh Band,34.11158887516826,2.0,Member State,AFG,ND,2022
AFG211,AFG1,Afghanistan,AFG16,Kapisa,Mahmud-e- Raqi,122.83837090813907,2.0,Member State,AFG,ND,2022
AFG212,AFG1,Afghanistan,AFG16,Kapisa,Nejrab,154.32300367190197,2.0,Member State,AFG,ND,2022
AFG213,AFG1,Afghanistan,AFG16,Kapisa,Tagab,148.97793386990347,2.0,Member State,AFG,ND,2022
AFG214,AFG1,Afghanistan,AFG17,Khost,Bak,47.53856969613994,2.0,Member State,AFG,ND,2022
AFG215,AFG1,Afghanistan,AFG17,Khost,Gurbuz,159.93942415028727,2.0,Member State,AFG,ND,2022
AFG216,AFG1,Afghanistan,AFG17,Khost,Jaji Maydan,56.29281799667831,2.0,Member State,AFG,ND,2022
AFG217,AFG1,Afghanistan,AFG17,Khost,Khost(Matun),290.3986556152012,2.0,Member State,AFG,ND,2022
AFG218,AFG1,Afghanistan,AFG17,Khost,Mando Zayi,107.35226347097552,2.0,Member State,AFG,ND,2022
AFG219,AFG1,Afghanistan,AFG17,Khost,Musa Khel,84.62019174142942,2.0,Member State,AFG,ND,2022
AFG22,AFG1,Afghanistan,AFG1,Badakhshan,Teshkan,77.3407445202172,2.0,Member State,AFG,ND,2022
AFG220,AFG1,Afghanistan,AFG17,Khost,Nadir Shah Kot,76.01660993419719,2.0,Member State,AFG,ND,2022
AFG221,AFG1,Afghanistan,AFG17,Khost,Qalandar,27.77313155675621,2.0,Member State,AFG,ND,2022
AFG222,AFG1,Afghanistan,AFG17,Khost,Sabri,154.5459433377418,2.0,Member State,AFG,ND,2022
AFG223,AFG1,Afghanistan,AFG17,Khost,Shamal (Shamul),32.868495078399,2.0,Member State,AFG,ND,2022
AFG224,AFG1,Afghanistan,AFG17,Khost,Spera,56.07511021091535,2.0,Member State,AFG,ND,2022
AFG225,AFG1,Afghanistan,AFG17,Khost,Tani,170.0352904730491,2.0,Member State,AFG,ND,2022
AFG226,AFG1,Afghanistan,AFG17,Khost,Tere Zayi,106.83205868286936,2.0,Member State,AFG,ND,2022
AFG227,AFG1,Afghanistan,AFG18,Kunar,Asad Abad,54.74485071030821,2.0,Member State,AFG,ND,2022
AFG228,AFG1,Afghanistan,AFG18,Kunar,Bar Kunar,38.84871874047912,2.0,Member State,AFG,ND,2022
AFG229,AFG1,Afghanistan,AFG18,Kunar,Chapa Dara,53.30067182351754,2.0,Member State,AFG,ND,2022
AFG23,AFG1,Afghanistan,AFG1,Badakhshan,Wakhan,43.742464869621344,2.0,Member State,AFG,ND,2022
AFG230,AFG1,Afghanistan,AFG18,Kunar,Chawkay,48.344634187383605,2.0,Member State,AFG,ND,2022
AFG231,AFG1,Afghanistan,AFG18,Kunar,Dangam,32.74674014828536,2.0,Member State,AFG,ND,2022
AFG232,AFG1,Afghanistan,AFG18,Kunar,Dara-e-Pech,112.84108261292951,2.0,Member State,AFG,ND,2022
AFG233,AFG1,Afghanistan,AFG18,Kunar,Ghazi Abad,28.150780526192648,2.0,Member State,AFG,ND,2022
AFG234,AFG1,Afghanistan,AFG18,Kunar,Khas Kunar,94.50381890148157,2.0,Member State,AFG,ND,2022
AFG235,AFG1,Afghanistan,AFG18,Kunar,Marawara,55.56879086732484,2.0,Member State,AFG,ND,2022
AFG236,AFG1,Afghanistan,AFG18,Kunar,Narang,27.404771594783902,2.0,Member State,AFG,ND,2022
